"Feuille_Excel","Numero_Feuille","Restitution","Etape","Principe","Paramètre ","Degré_Retenu_P","Sources","Justification_Degré_Retenu_P","Deal-Breaker","Commentaire","Degré 3 ","Degré 2 ","Degré 1 ","Degré 0","Source","Deal-Breaker (Oui/Non)","Commentaires ","Degré 3"," Degré 1","Paramètre","Degré 1"
"Etape 1","1","Restitution Syrie - France (2022)","E1","transparence (P_T) ","1. modalités d'accès à l'information ","Degré 1","(1) Lepany, F. (2022, September 12). Affaire des “biens mal acquis” de Rifaat al-Assad: après la condamnation, la délicate restitution aux populations spoliées. Liberation.fr; Libération. https://www.liberation.fr/idees-et-debats/tribunes/affaire-des-biens-mal-acquis-de-rifaat-al-assad-apres-la-condamnation-la-delicate-restitution-aux-populations-spoliees-20220912_A3E3K76735BITN4RLHWSX7UI6I/ ; (2) Le Monde avec AFP. (2022, September 7). Affaire des “biens mal acquis” : le Syrien Rifaat Al-Assad définitivement condamné en France. Lemonde.fr; Le Monde. https://www.lemonde.fr/international/article/2022/09/07/biens-mal-acquis-le-syrien-rifaat-al-assad-definitivement-condamne-en-france_6140589_3210.html ; (3) CEDH. (2023, novembre 27). Refaat Al Assad c. France. Requête n°1924/23. https://hudoc.echr.coe.int/fre#{%22itemid%22:[%22001-229337%22]}","Les décisions de justice ne sont pas centralisées sur une page web dédiée. Aucune page web n’a été crée dans l’objectif de publier toutes les informations relatives à l’affaire. La décision du 9 septembre 2021 de la Cour d’Appal de Paris qui a confirmé la condamnation de Rifaat al-Assad à quatre ans d’emprisonnement pour s’être frauduleusement constitué en France un patrimoine évalué à 90 millions d’euro, n’est pas publiée sur son site. Le 7 septembre 2022, la Cour de cassation aurait confirmer la décision de la Cour d’Appel (1) en rejetant le pourvoi de Rifaat Al Assad (2), mais sa décision est difficilement accessible. Une requête a également été déposée devant la CEDH contre la France, mais celle ci a té rejetée le 27 novembre 2023, et a été publiée (3).  Ainsi, pas toutes les décisions de justice, même une de cette importance, n’a été publiée. Ainsi, vue la difficulté d’accès aux décisions de justice, dont certaines ne sont accessibles qu’avec un abonnement à un site d’archives, le degré retenu sera 1. ","Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).","","Les informations clés des négociations, à savoir l’accord (ou les accords) des négociations, ainsi que les décisions de justice relatives à l’affaire, sont cumulativement : a) publiées en source ouverte (librement accessibles, sans restriction), b) centralisées sur une page ou plateforme dédiée, c) accessibles par défaut depuis le pays d’origine et le pays d’accueil, d) disponibles au minimum dans les langues pertinentes des deux pays.","Les informations clés des négociations, à savoir l’accord (ou les accords) des négociations, ainsi que les décisions de justice relatives à l’affaire, sont publiées, mais une ou plusieurs des conditions suivantes est remplie(s) : a) l’accès n’est pas pleinement ouvert (accès sur demande, inscription préalable, diffusion restreinte ou partiellement discrétionnaire), b) les informations ne sont pas centralisées sur une plateforme dédiée et sont dispersées sur plusieurs supports sans point d’entrée clair, c) les informations ne sont accessibles que depuis un seul des pays concernés (pays d’origine ou pays d’accueil), d) les informations ne sont disponibles que dans une seule langue ou dans une langue non pertinente pour certaines parties prenantes.","Les informations clés informations clés des négociations, à savoir l’accord (ou les accords) de négociations, ainsi que les décisions de justice relatives à l’affaire, ne sont pas publiées en source ouverte, ou leur diffusion est exceptionnelle, discrétionnaire, ou limitée à des annonces générales. Ce degré est également retenu si l’accord des négociations n’est pas publié du tout, mais que certaines informations sur ses dispositions sont publiés à travers des annonces de presses.","Aucune information n'est publiée. ","","","","","","",""
"Etape 1","1","Restitution Syrie - France (2022)","E1","transparence (P_T) ","2. usabilité de l'information.","Degré 2","(1) Lepany, F. (2022, September 12). Affaire des “biens mal acquis” de Rifaat al-Assad: après la condamnation, la délicate restitution aux populations spoliées. Liberation.fr; Libération. https://www.liberation.fr/idees-et-debats/tribunes/affaire-des-biens-mal-acquis-de-rifaat-al-assad-apres-la-condamnation-la-delicate-restitution-aux-populations-spoliees-20220912_A3E3K76735BITN4RLHWSX7UI6I/ ; (2) Le Monde avec AFP. (2022, September 7). Affaire des “biens mal acquis” : le Syrien Rifaat Al-Assad définitivement condamné en France. Lemonde.fr; Le Monde. https://www.lemonde.fr/international/article/2022/09/07/biens-mal-acquis-le-syrien-rifaat-al-assad-definitivement-condamne-en-france_6140589_3210.html ; (3) CEDH. (2023, novembre 27). Refaat Al Assad c. France. Requête n°1924/23. https://hudoc.echr.coe.int/fre#{%22itemid%22:[%22001-229337%22]}","Les décisions de justices et les annonces officielle sont difficiles à trouver en ligne. Il n’existe pas une page officielle ou sont regroupées toutes les informations relatives à l’affaire. Ainsi, étant donné qu’il manque également certaines décisions de justice, qui ne sont pas publiées, le deal breaker s’active et nous retiendrons le degré 2. ","Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).","","La forme de publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations, ainsi que les décisions de justice relatives à l’affaire, est claire, facilement accessible et naviguable en ligne, et compréhensible. (Ex:document claire et naviguable, annonce de presse détaillant les termes de l’accord).","La forme de publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations, ainsi que les décisions de justice relatives à l’affaire, est (non cumulatif) a) un pdf, ou un document scanné difficilement naviguable b) difficilement accessible en ligne. ","La publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations ainsi que les décisions de justice relatives à l’affaire, se fait à travers des annonces de presse, irrégulières et/ou non centralisées.","Il n'y a aucune publication concernant les accords de restitution.","","","","","","",""
"Etape 1","1","Restitution Syrie - France (2022)","E1","transparence (P_T) ","3. temporalité, fréquence et actualisation des informations publiées","Degré 2","(1) Lepany, F. (2022, September 12). Affaire des “biens mal acquis” de Rifaat al-Assad: après la condamnation, la délicate restitution aux populations spoliées. Liberation.fr; Libération. https://www.liberation.fr/idees-et-debats/tribunes/affaire-des-biens-mal-acquis-de-rifaat-al-assad-apres-la-condamnation-la-delicate-restitution-aux-populations-spoliees-20220912_A3E3K76735BITN4RLHWSX7UI6I/ ; (2) Le Monde avec AFP. (2022, September 7). Affaire des “biens mal acquis” : le Syrien Rifaat Al-Assad définitivement condamné en France. Lemonde.fr; Le Monde. https://www.lemonde.fr/international/article/2022/09/07/biens-mal-acquis-le-syrien-rifaat-al-assad-definitivement-condamne-en-france_6140589_3210.html ; (3) CEDH. (2023, novembre 27). Refaat Al Assad c. France. Requête n°1924/23. https://hudoc.echr.coe.int/fre#{%22itemid%22:[%22001-229337%22]}","Les décisions de justice qui sont publiées en temps et en heure, après qu’elles soient prises. Le jugements du tribunal judiciaire de paris a condamné en 2021 condamne Rifaat al-Assad a 4 ans de prison et confiscation de ses biens n’est publié, car ce n’est pas obligatoire. Le degré devant être retenu est le 3, mais étant donné qu’il manque des décisions, le deal breaker s’active et nous retiendrons le degré 2. ","Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).","","La publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations ainsi que les décisions de justice relatives à l’affaire, ","La publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations ainsi que les décisions de justice relatives à l’affaire, est tardive (ne se fait pas dans un temps raisonnable après sa prise en effet).","La publication des informations clés des négociations, à savoir l’accord (ou les accords) de négociations ainsi que les décisions de justice relatives à l’affaire, n'est pas publiée. Mais des annonces de presses signalent son ou leur existence. ","Aucun document ou annonces officiels relatifs à l’affaire n’est publié.","","","","","","",""
"Etape 1","1","Restitution Syrie - France (2022)","E1","redevabilité (P_R)","4. planification et formalisation du processus de restitution","Degré 2","(1) Loi n° 2021-1031 du 4 août 2021 de programmation relative au développement solidaire et à la lutte contre les inégalités mondiales. (2021). Journal officiel de la République française, n° 180. https://www.legifrance.gouv.fr/download/pdf?id=gpWaZxUlD8MoEHsNIqh-WvW-c5JqEb-SEAz0MfCl1vU= ; (2) Cathala, G. (2026, February 10). Question écrite n° 10905 : Conditions de la restitution des biens mal acquis à la société civile syrienne. Questions.assemblee-Nationale.fr. https://questions.assemblee-nationale.fr/q17/17-10905QE.htm ; (3) Projet de loi de finances pour 2025 : Aide publique au développement - Sénat, Rapport général n° 144 (2024-2025), tome III, annexe 4, Sénat, Sénat (2024). https://www.senat.fr/rap/l24-144-34/l24-144-346.html","L’objectif défini par la loi n° 2021-1031 du 4 août 2021 de programmation relative au développement solidaire et à la lutte contre les inégalités mondiales, est de restituer aux populations concernée les biens qui ont été saisis (1). Effectivement, dans les publications officielles, cet objectif finale est effectivement attribué. La restitution n’ayant pas encore abouti, les objectifs intermédiaires de la restitution restent encore a être identifiés. La gouvernement aurait pu cependant prendre la parole et exprimer l’Etat des négociations et les étapes envisagées, ce qu’il n’a pas encore fait, malgré les quelques publications officielles sur cette restitution (2) (3) . Ce degré peut donc être amené à changer, une fois les accords conclus. ","","","Les éléments suivants sont clairement et cumulativement définis à l'issue du processus de négociations : a) les objectifs finaux et intermédiaires. b) les modalités de suivi et d’évaluation.","Les objectifs finaux et intermédiaires du processus de restitution, ainsi que les modalités de suivi et d'évaluation, sont définie de manière vague et non exhaustive.","Les objectifs finaux et intermédiaires ne sont pas définie à l'issue du processus de négociation, dans le MOU ou équivalent.","Aucune information n'est publiée. ","","","","","","",""
"Etape 1","1","Restitution Syrie - France (2022)","E1","redevabilité (P_R)","5. tracabilité financière de la restitution","Degré 2","(1) Loi n° 2021-1031 du 4 août 2021 de programmation relative au développement solidaire et à la lutte contre les inégalités mondiales. (2021). Journal officiel de la République française, n° 180. https://www.legifrance.gouv.fr/download/pdf?id=gpWaZxUlD8MoEHsNIqh-WvW-c5JqEb-SEAz0MfCl1vU= ; (2) Projet de loi de finances pour 2025 : Aide publique au développement - Sénat, Rapport général n° 144 (2024-2025), tome III, annexe 4, Sénat, Sénat (2024). https://www.senat.fr/rap/l24-144-34/l24-144-346.html","La loi n° 2021-1031 du 4 août 2021 (1) de programmation relative au développement solidaire et à la lutte contre les inégalités mondiales, prévoir qu’une ligne budgétaire spécifique, qui contient le montant des biens saisis, est gérée sous la responsabilité du MEAE. Cela a déjà été mis en place pour cette restitution, pour la loi de finances de 2025, un total de 140,3 millions d'euros a été inscrit sur le programme 370 (2). Les informations n’étant pas encore disponible pour l’entité récipiendaires, nous validerons le degré 2. En effet, la garantie du gouvernement de la traçabilités des fonds restitués aurait pu faire retenir le degré 3, mais aucune informations à ce sujet n’ayant été formulée, nous retiendrons le degré 2 qui peut ainsi être mené à changer une fois les accords conclus. ","","","Une ligne séparée est présente dans les comptes des deux Etats ","Une ligne séparée est présente dans les comptes d'un des deux Etats, d'origine ou d'accueil.","Aucune garantie n'existe sur la création de lignes de compte séparées. ","Aucune information n'est publiée. ","","","","","","",""
"Etape 1","1","Restitution Syrie - France (2022)","E1","redevabilité (P_R)","6. répartition des rôles ","Degré 2","(1) Loi n° 2021-1031 du 4 août 2021 de programmation relative au développement solidaire et à la lutte contre les inégalités mondiales. (2021). Journal officiel de la République française, n° 180. https://www.legifrance.gouv.fr/download/pdf?id=gpWaZxUlD8MoEHsNIqh-WvW-c5JqEb-SEAz0MfCl1vU= ; (2) Rose, S. (2026, February 7). France and Syria seek transfer of €32m from Rifaat Al Assad confiscated assets sale. Thenationalnews.com; The National. https://www.thenationalnews.com/news/europe/2026/02/07/france-and-syria-seek-transfer-of-32m-from-rifaat-al-assad-assets-sale/? ; (3) Lepany, F. (2022, September 12). Affaire des “biens mal acquis” de Rifaat al-Assad: après la condamnation, la délicate restitution aux populations spoliées. Liberation.fr; Libération. https://www.liberation.fr/idees-et-debats/tribunes/affaire-des-biens-mal-acquis-de-rifaat-al-assad-apres-la-condamnation-la-delicate-restitution-aux-populations-spoliees-20220912_A3E3K76735BITN4RLHWSX7UI6I/ ; (4) Cathala, G. (2026, February 10). Question écrite n° 10905 : Conditions de la restitution des biens mal acquis à la société civile syrienne. Questions.assemblee-Nationale.fr. https://questions.assemblee-nationale.fr/q17/17-10905QE.htm","La loi n° 2021-1031 du 4 août 2021 de programmation relative au développement solidaire et à la lutte contre les inégalités mondiales, identifie le ministère des affaires étrangères comme compétent pour piloter les négociations (1). La délégation syrienne était à Paris la première semaine de février 2026, conduite par le vice-ministre de la Justice, Mustafa Al Qasim, et le procureur général, Hassan Youssef Al Turbah (2). L’avocat Mohammad Al Abdallah, directeur du Centre syrien pour la justice et la responsabilisation aurait organisé des réunions avec les délégations des deux Etats, le rôle de cette ONG dans les négociations reste à définir (2). Les ONG historiques Sherpa et Transparency International ont porté les plaintes, mais leur rôle dans les négociations est encore à définir (3). L’inclusion de la société civile est confirmée par une réponse officielle à une question écrite à l’Assemblée Nationale (4) “La France travaille de près avec les acteurs de la société civile syrienne et les ONG françaises.”. Cependant, leur rôle précis reste encore à définir, ainsi que celui de la délégation officielle, dont la présence n’est confirmée que par la presse. Ainsi, le degré retenu est le 2. ","","","Les éléments suivants sont clairement et cumulativement définis : a) Les rôles des autorités gouvernementales impliquées. b) L'étape à partir de laquelle ces autorités gouvernementales interviennent. c) Les points de contact au sein des différentes autorités intervenantes.","Lors de la négociation de la restitution et (le cas échéant) dans les accords publiés, répondent à une ou plusieurs des éléments suivants : a) seules les autorités principales du pays d’origine et du pays d’accueil intervenant dans la restitution sont identifiées. b) l'étape à laquelle ces autorités gouvernementales interviennent n'est pas définie. c) aucun point de contact n’est désigné au sein des différentes autorités intervenantes.","Les rôles et responsabilités ne sont pas définis dans les publications relatives aux négociations des modalités de restitution.","Aucune information n'est publiée. ","","","","","","",""
"Etape 1","1","Restitution Syrie - France (2022)","E1","redevabilité (P_R)","7. responsabilité et recours ","Degré 2","Loi n° 2021-1031 du 4 août 2021 de programmation relative au développement solidaire et à la lutte contre les inégalités mondiales. (2021). Journal officiel de la République française, n° 180. https://www.legifrance.gouv.fr/download/pdf?id=gpWaZxUlD8MoEHsNIqh-WvW-c5JqEb-SEAz0MfCl1vU=","La loi n° 2021-1031 du 4 août 2021 de programmation relative au développement solidaire et à la lutte contre les inégalités mondiales, évoque des notions proches des principes GFAR (transparence, recevabilité, inclusion de la société civile), mais ces notions ne sont pas aussi détaillées que les CFAR. Par ailleurs, la France est responsable au titre de ses engagement internationaux de la bonne administration de ses restitutions, et dispose d’un cadre juridique. Cependant, les négociations entamée, la France n’a toujours pas adopté une disposition concernant sa responsabilité ou la suspension du processus en cas d’irrégularité. Ainsi, le degré retenu est le degré 2.","","","Les accords prévoient (cumulativement) que: a) Les États d'accueil et d'origine, le cas échant, répondent aux irrégularités identifiées au cours du processus de restitution. b) des clauses prévoyant la suspension du transfert des avoirs s'il y a des soupçons d'irrégularité c) des clauses prévoyant la suspensoin du transfert des avoirs s'il y a des soupçons de non respect des principes GFAR (ou équivalents) .","Lors de la négociation de la restitution et (le cas échéant) dans les accords publiés, le pays d’origine et le pays d’accueil n’adoptent aucune disposition concernant: a) leur responsabilité réciproque. b) la suspension du processus de restitution en cas d’irrégularité ou de non-respect des principes du GFAR (ou équivalent).","Dans le cas où la restitution est en cours : aucun mécanisme de redevabilité spécifique n'est mis en place (ou ne semble être discuté). Dans le cas ou les accords ad hoc de restitutions sont finalisés, une (ou plusieurs) des conditions suivantes est remplie: a) aucun mécanisme de redevabilité spécifique n'est mis en place b) une clause est instituée excluant expressément la responsabilité de l'État d'origine et d'accueil.","Aucune information n'est publiée. ","","","","","","",""
"Etape 1","1","Restitution Syrie - France (2022)","E1","inclusivité (P_I)","8. niveau de détail de l’information publiée","Degré 3","(1) Projet de loi de finances pour 2025 : Aide publique au développement - Sénat, Rapport général n° 144 (2024-2025), tome III, annexe 4, Sénat, Sénat (2024). https://www.senat.fr/rap/l24-144-34/l24-144-346.html ; (2) Cathala, G. (2026, February 10). Question écrite n° 10905 : Conditions de la restitution des biens mal acquis à la société civile syrienne. Questions.assemblee-Nationale.fr. https://questions.assemblee-nationale.fr/q17/17-10905QE.htm ; (3) Lepany, F. (2022, September 12). Affaire des “biens mal acquis” de Rifaat al-Assad: après la condamnation, la délicate restitution aux populations spoliées. Liberation.fr; Libération. https://www.liberation.fr/idees-et-debats/tribunes/affaire-des-biens-mal-acquis-de-rifaat-al-assad-apres-la-condamnation-la-delicate-restitution-aux-populations-spoliees-20220912_A3E3K76735BITN4RLHWSX7UI6I/","L’entièreté des informations n’est pas publiée mais celles qui ne le sont pas (calendrier des restitutions, modalités, choix et justification de l’affectation finale), ne peuvent être qu’après les accords conclus. Nous avons des informations sur l’état des relations de la France avec la Syrie, les chefs d’accusation, la nature de l’affaire, le cadre juridique et règles applicables, montants des avoirs précis confisqués et modalité de revente. En somme, la restitution est assez transparente concernant les informations. Ainsi, le degré retenu à l’instant est le degré 3, mais il peut être amené à changer si les informations manquantes ne sont pas rendues publique à l’issue des négociations. ","","","Les informations publiées couvrent l’ensemble des éléments suivants : a) Informations substantielles sur l’affaire (nature de l’affaire/décision(s) de confiscation/identité des personnes morales et physiques impliquées/chefs d’accusation/ type et montants des avoirs concernés.) b) Cadre général de restitution et partage des fonds (cadre juridique applicable/règles et accords de partage/montants détaillés des dépenses raisonnables déduites par l’État d’accueil). c) Modalités concrètes de restitution montants précis des avoirs confisqués et restitués (calendrier du processus de restitution, choix et justification de l’affectation finale des fonds/modalités de suivi de l’utilisation des fonds).","Les informations publiées couvrent une partie substantielle des éléments ci-dessous, mais certains éléments sont absents ou insuffisamment détaillés (ex. montants agrégés, absence de justification, calendrier incomplet). a) informations substantielles sur l’affaire (nature de l’affaire/décision(s) de confiscation/identité des personnes morales et physiques impliquées/chefs d’accusation/ type et montants des avoirs concernés.) b) cadre général de restitution et partage des fonds (cadre juridique applicable/règles et accords de partage/montants détaillés des dépenses raisonnables déduites par l’État d’accueil.) c) modalités concrètes de restitution, montants précis des avoirs confisqués et restitués (calendrier du processus de restitution, choix et justification de l’affectation finale des fonds/modalités de suivi de l’utilisation des fonds).","Seules des informations générales ou de contexte sont publiées, telles que : les États parties, montants globaux restitués, rappels généraux des chefs de condamnation, sans information détaillée sur les décisions, les flux ou les modalités de restitution.","","","","","","","",""
